disease,symptom1,symptom2,symptom3,symptom4,symptom5
Malaria,fever,chills,headache,nausea,sweating
Malaria,fever,headache,chills,vomiting,fatigue
Malaria,high_fever,sweating,nausea,chills,weakness
Malaria,fever,muscle_pain,headache,chills,vomiting
Malaria,fever,nausea,sweating,fatigue,headache
Typhoid,fever,weakness,stomach_pain,headache,loss_of_appetite
Typhoid,high_fever,headache,stomach_pain,weakness,constipation
Typhoid,fever,loss_of_appetite,nausea,stomach_pain,fatigue
Typhoid,fever,diarrhea,weakness,headache,stomach_pain
Typhoid,fever,vomiting,stomach_pain,fatigue,loss_of_appetite
Dengue,fever,severe_headache,joint_pain,rash,fatigue
Dengue,high_fever,pain_behind_eyes,joint_pain,rash,nausea
Dengue,fever,rash,muscle_pain,headache,vomiting
Dengue,fever,joint_pain,fatigue,nausea,pain_behind_eyes
Dengue,high_fever,severe_headache,rash,fatigue,muscle_pain
Pneumonia,chest_pain,cough,fever,shortness_of_breath,fatigue
Pneumonia,fever,cough,difficulty_breathing,chest_pain,chills
Pneumonia,cough,fever,fatigue,shortness_of_breath,sweating
Pneumonia,chest_pain,high_fever,cough,weakness,shortness_of_breath
Pneumonia,fever,cough,chest_pain,fatigue,loss_of_appetite
Diabetes,frequent_urination,excessive_thirst,fatigue,blurred_vision,slow_healing
Diabetes,excessive_thirst,frequent_urination,weight_loss,fatigue,blurred_vision
Diabetes,fatigue,blurred_vision,slow_healing,frequent_urination,weakness
Diabetes,weight_loss,excessive_thirst,frequent_urination,fatigue,numbness
Diabetes,frequent_urination,fatigue,excessive_thirst,numbness,blurred_vision
Tuberculosis,cough,fever,night_sweats,weight_loss,fatigue
Tuberculosis,persistent_cough,night_sweats,weight_loss,fatigue,chest_pain
Tuberculosis,cough,blood_in_sputum,fever,night_sweats,weakness
Tuberculosis,weight_loss,fatigue,cough,night_sweats,loss_of_appetite
Tuberculosis,fever,cough,chest_pain,night_sweats,fatigue
Asthma,shortness_of_breath,wheezing,chest_tightness,cough,fatigue
Asthma,wheezing,cough,shortness_of_breath,chest_tightness,difficulty_breathing
Asthma,chest_tightness,shortness_of_breath,wheezing,fatigue,cough
Asthma,cough,wheezing,difficulty_breathing,chest_tightness,fatigue
Asthma,shortness_of_breath,cough,wheezing,chest_pain,fatigue
Jaundice,yellow_skin,dark_urine,fatigue,abdominal_pain,nausea
Jaundice,yellow_eyes,dark_urine,fatigue,nausea,abdominal_pain
Jaundice,yellow_skin,yellow_eyes,fatigue,abdominal_pain,vomiting
Jaundice,dark_urine,yellow_skin,loss_of_appetite,fatigue,nausea
Jaundice,yellow_skin,abdominal_pain,fatigue,dark_urine,weakness
COVID19,fever,cough,loss_of_taste,fatigue,shortness_of_breath
COVID19,fever,loss_of_smell,cough,fatigue,body_ache
